!PROJECT: GP2018
!LOCATION: Blaue Kuppe, Eschwege
!OPERATOR: GP2018 participants
!DATA: Bouguer gravity data from table: GRAV_BK14
!DATE:
!NOTES:
!VALUE:     datetime    easting    northing    elev    depth          boug         tboug
!UNIT:                      [m]         [m]     [m]      [m]        [mGal]        [mGal]
!COORDINATES: UTM 32U
2018-09-22-09:20:00   572566.86  5667695.04  296.28     0.40         -0.83          0.00
2018-09-22-09:25:00   572592.22  5667706.73  293.29     0.40         -0.81          0.00
2018-09-22-09:30:00   572620.85  5667723.83  290.61     0.40         -0.52          0.00
2018-09-22-09:37:00   572640.69  5667730.10  288.79     0.40         -0.80          0.00
2018-09-22-09:40:00   572657.06  5667682.89  290.62     0.40         -0.68          0.00
2018-09-22-09:47:00   572664.91  5667639.73  291.59     0.40         -0.88          0.00
2018-09-22-09:50:00   572677.29  5667595.92  290.65     0.40         -0.72          0.00
2018-09-22-09:55:00   572682.40  5667560.19  288.50     0.40         -0.79          0.00
2018-09-22-09:59:00   572666.72  5667475.07  286.96     0.40         -0.67          0.00
2018-09-22-10:05:00   572669.25  5667442.56  284.56     0.40         -0.75          0.00
2018-09-22-10:08:00   572677.22  5667424.73  281.89     0.40         -0.75          0.00
2018-09-22-10:11:00   572681.51  5667401.27  279.19     0.40         -0.68          0.00
2018-09-22-10:15:00   572617.29  5667401.42  278.20     0.40         -0.77          0.00
2018-09-22-10:17:00   572582.97  5667396.85  277.90     0.40         -0.71          0.00
2018-09-22-10:20:00   572537.95  5667392.11  277.80     0.40         -0.79          0.00
2018-09-22-10:22:00   572496.07  5667387.32  277.43     0.40         -0.74          0.00
2018-09-22-10:26:00   572455.70  5667382.35  277.13     0.40         -0.78          0.00
2018-09-22-10:28:00   572423.22  5667357.44  276.41     0.40         -0.77          0.00
2018-09-22-10:30:00   572405.10  5667349.12  276.18     0.40         -0.60          0.00
2018-09-22-11:38:00   572664.53  5667739.02  286.70     0.40         -0.58          0.00
2018-09-22-11:41:00   572683.25  5667745.86  285.13     0.40         -0.49          0.00
2018-09-22-11:44:00   572703.82  5667758.01  283.27     0.40         -0.64          0.00
2018-09-22-11:45:00   572724.79  5667767.24  281.69     0.40         -0.44          0.00
2018-09-22-11:49:00   572738.48  5667774.14  280.74     0.40         -0.47          0.00
2018-09-22-11:49:00   572738.48  5667774.14  280.74     0.40         -0.47          0.00
