!PROJECT: GP 2022
!LOCATION: Eschwege - Blaue Kuppe
!OPERATOR: Annika Mattil, Ibrahima Diop, Luise Sontag, Philipp Kraml, Valentin Lobsien
!DATA: Total-field magnetic data from table: MAG_M02
!DATE:
!NOTES:
!VALUE:     datetime    easting    northing    elev    depth       sensor1       sensor2
!UNIT:                      [m]         [m]     [m]      [m]          [nT]          [nT]
!COORDINATES: UTM 32U
2022-8-24-14:04:42   572082.41  5667770.94  257.00     1.50         42.53         33.41
2022-8-24-14:05:06   572094.73  5667783.94  258.00     1.50        184.77        127.49
2022-8-24-14:05:30   572106.78  5667796.60  258.00     1.50        102.56         74.17
2022-8-24-14:05:54   572120.08  5667810.35  259.00     1.50        141.40        106.45
2022-8-24-14:06:18   572132.38  5667823.17  260.00     1.50         60.58         53.84
2022-8-24-14:06:42   572145.32  5667837.03  260.00     1.50         64.64         42.95
2022-8-24-14:07:14   572163.31  5667854.36  260.00     1.50        151.81        102.64
2022-8-24-14:07:38   572178.55  5667867.12  261.00     1.50        -56.91        -40.08
2022-8-24-14:08:10   572196.38  5667881.74  261.00     1.50          8.73         52.71
2022-8-24-14:08:46   572216.32  5667898.69  260.00     1.50        -95.70        -71.19
2022-8-24-14:09:14   572234.87  5667913.59  259.00     1.50        225.89        174.41
2022-8-24-14:09:34   572245.30  5667921.25  259.00     1.50       -181.23        -51.58
2022-8-24-14:09:58   572255.90  5667929.20  259.00     1.50        284.15        210.62
2022-8-24-14:10:22   572266.04  5667937.61  259.00     1.50       -236.96       -145.92
2022-8-24-14:10:46   572276.05  5667946.64  258.00     1.50       -218.58       -158.66
2022-8-24-14:11:10   572284.49  5667956.01  258.00     1.50       -422.38       -283.39
2022-8-24-14:11:42   572291.25  5667963.70  257.00     1.50       -335.49       -198.04
2022-8-24-14:12:18   572300.03  5667974.75  257.00     1.50       -152.87        -81.59
2022-8-24-14:14:10   572310.30  5667985.02  257.00     1.50       -106.75        -81.59
