!PROJECT: GP2018
!LOCATION: Blaue Kuppe, Eschwege
!OPERATOR: GP2018 participants
!DATA: Bouguer gravity data from table: GRAV_BK11
!DATE:
!NOTES:
!VALUE:     datetime    easting    northing    elev    depth          boug         tboug
!UNIT:                      [m]         [m]     [m]      [m]        [mGal]        [mGal]
!COORDINATES: UTM 32U
2018-09-18-11:03:00   572480.32  5667674.95  302.73     0.40         -1.55          0.00
2018-09-18-11:10:00   572433.95  5667669.06  305.88     0.40         -1.44          0.00
2018-09-18-11:15:00   572387.30  5667658.63  307.18     0.40         -1.46          0.00
2018-09-18-11:20:00   572366.17  5667639.64  308.11     0.40         -1.48          0.00
2018-09-18-11:25:00   572362.71  5667621.90  309.08     0.40         -1.52          0.00
2018-09-18-11:31:00   572337.28  5667579.73  308.91     0.40         -1.38          0.00
2018-09-18-11:39:00   572323.35  5667546.05  309.32     0.40         -1.83          0.00
2018-09-18-11:44:00   572323.30  5667524.81  310.33     0.40         -1.96          0.00
2018-09-18-11:50:00   572335.72  5667501.96  313.08     0.40         -1.98          0.00
2018-09-18-11:55:00   572355.81  5667480.88  316.42     0.40         -2.31          0.00
2018-09-18-12:00:00   572360.20  5667462.26  311.32     0.40         -1.92          0.00
2018-09-18-12:04:00   572373.80  5667450.77  309.28     0.40         -1.80          0.00
2018-09-18-12:09:00   572387.39  5667448.86  305.58     0.40         -1.50          0.00
2018-09-18-12:12:00   572387.11  5667443.96  304.58     0.40         -1.56          0.00
2018-09-18-12:18:00   572396.15  5667437.75  303.22     0.40         -1.59          0.00
2018-09-18-12:23:00   572406.82  5667449.91  303.28     0.40         -1.50          0.00
2018-09-18-12:27:00   572423.51  5667471.72  303.58     0.40         -1.37          0.00
2018-09-18-12:39:00   572466.53  5667496.46  302.87     0.40         -1.28          0.00
2018-09-18-12:43:00   572483.74  5667515.84  303.06     0.40         -1.44          0.00
2018-09-18-12:47:00   572494.00  5667527.99  303.15     0.40         -1.36          0.00
2018-09-18-12:50:00   572516.45  5667572.57  303.58     0.40         -1.31          0.00
2018-09-18-12:55:00   572527.74  5667615.11  304.49     0.40         -1.26          0.00
2018-09-18-12:57:00   572532.32  5667637.64  304.22     0.40         -1.16          0.00
2018-09-18-13:00:00   572535.42  5667666.05  301.03     0.40         -0.98          0.00
2018-09-18-13:00:00   572535.42  5667666.05  301.03     0.40         -0.98          0.00
