!PROJECT: GP 2022
!LOCATION: Eschwege - Blaue Kuppe
!OPERATOR: Annika Mattil, Ibrahima Diop, Luise Sontag, Philipp Kraml, Valentin Lobsien
!DATA: Total-field magnetic data from table: MAG_M01
!DATE:
!NOTES:
!VALUE:     datetime    easting    northing    elev    depth       sensor1       sensor2
!UNIT:                      [m]         [m]     [m]      [m]          [nT]          [nT]
!COORDINATES: UTM 32U
2022-8-23-13:52:42   572534.26  5667664.59  300.00     1.50       -223.55       -212.99
2022-8-23-13:53:10   572534.51  5667656.07  301.00     1.50       -212.26       -207.21
2022-8-23-13:53:34   572534.87  5667647.68  302.00     1.50       -230.34       -223.63
2022-8-23-13:54:34   572533.11  5667640.25  303.00     1.50       -222.11       -206.97
2022-8-23-13:54:54   572533.02  5667631.88  304.00     1.50       -154.40       -131.99
2022-8-23-13:55:18   572533.46  5667622.63  303.00     1.50        -51.40        -36.43
2022-8-23-13:55:42   572528.52  5667612.22  303.00     1.50        -30.08        -23.59
2022-8-23-13:56:18   572522.41  5667599.94  303.00     1.50       -100.48        -99.08
2022-8-23-13:56:50   572518.26  5667586.48  303.00     1.50       -187.96       -186.77
2022-8-23-13:57:22   572517.58  5667574.66  303.00     1.50       -227.25       -224.51
2022-8-23-13:57:50   572511.78  5667564.62  303.00     1.50       -259.52       -254.42
2022-8-23-13:58:14   572504.72  5667554.48  302.00     1.50       -316.93       -304.62
2022-8-23-13:58:46   572499.42  5667547.70  308.00     1.50       -315.36       -302.83
2022-8-23-13:59:14   572497.33  5667534.49  305.00     1.50       -278.92       -266.86
2022-8-23-13:59:42   572489.68  5667521.91  303.00     1.50       -208.52       -196.53
2022-8-23-14:00:06   572485.15  5667511.95  302.00     1.50       -105.72        -89.19
2022-8-23-14:00:38   572473.61  5667501.80  302.00     1.50        144.26        161.67
2022-8-23-14:01:06   572463.65  5667496.03  302.00     1.50        326.57        341.42
2022-8-23-14:01:34   572452.35  5667484.03  301.00     1.50        509.76        517.03
2022-8-23-14:02:10   572435.48  5667475.85  308.00     1.50        539.97        544.42
2022-8-23-14:02:42   572421.72  5667464.05  308.00     1.50        468.46        469.26
2022-8-23-14:03:10   572412.55  5667455.20  307.00     1.50        399.03        404.61
2022-8-23-14:03:38   572405.56  5667439.58  308.00     1.50        391.10        394.97
2022-8-23-14:04:14   572396.48  5667435.03  304.00     1.50        406.16        409.62
2022-8-23-14:04:42   572389.02  5667438.78  304.00     1.50        445.54        450.90
2022-8-23-14:05:14   572392.03  5667444.64  304.00     1.50        452.67        460.10
2022-8-23-14:05:50   572383.07  5667449.17  309.00     1.50        725.91        700.14
2022-8-23-14:06:26   572372.08  5667450.59  309.00     1.50        771.41        824.74
2022-8-23-14:07:06   572366.51  5667454.66  310.00     1.50       1585.51       1433.81
2022-8-23-14:07:38   572358.35  5667462.96  310.00     1.50        542.94        554.12
2022-8-23-14:08:22   572355.96  5667473.52  317.00     1.50        740.96        749.30
2022-8-23-14:10:06   572352.86  5667480.05  314.00     1.50        972.84        984.39
2022-8-23-14:10:30   572349.91  5667489.29  314.00     1.50       1391.79       1366.87
2022-8-23-14:10:50   572343.53  5667493.77  313.00     1.50       1158.71       1157.95
2022-8-23-14:11:10   572338.85  5667498.60  310.00     1.50        881.00        906.43
2022-8-23-14:11:34   572331.73  5667505.50  309.00     1.50        436.29        482.12
2022-8-23-14:12:02   572324.86  5667516.10  309.00     1.50       -215.30       -157.40
2022-8-23-14:12:34   572320.91  5667529.19  309.00     1.50       -357.97       -329.98
2022-8-23-14:13:02   572322.91  5667536.73  309.00     1.50       -655.18       -592.86
2022-8-23-14:13:30   572323.77  5667540.92  306.00     1.50       -593.33       -551.90
2022-8-23-14:14:02   572322.54  5667554.08  308.00     1.50       -454.37       -443.44
2022-8-23-14:14:30   572325.97  5667563.61  309.00     1.50       -361.36       -369.60
2022-8-23-14:14:54   572332.10  5667573.27  310.00     1.50       -358.00       -366.06
2022-8-23-14:15:18   572339.47  5667585.62  307.00     1.50       -344.44       -342.46
2022-8-23-14:15:38   572344.49  5667591.02  306.00     1.50       -328.11       -326.95
