!PROJECT: GP2018
!LOCATION: Blaue Kuppe, Eschwege
!OPERATOR: GP2018 participants
!DATA: Bouguer gravity data from table: GRAV_BK13
!DATE:
!NOTES:
!VALUE:     datetime    easting    northing    elev    depth          boug         tboug
!UNIT:                      [m]         [m]     [m]      [m]        [mGal]        [mGal]
!COORDINATES: UTM 32U
2018-9-20-11:48:00   572374.32  5667617.62  309.34     0.40         -1.31          0.00
2018-09-20-11:53:00   572382.75  5667614.07  309.86     0.40         -1.29          0.00
2018-09-20-11:56:00   572393.87  5667609.55  308.91     0.40         -0.99          0.00
2018-09-20-11:59:00   572401.33  5667606.66  308.98     0.40         -0.87          0.00
2018-09-20-12:04:00   572406.06  5667598.83  310.28     0.40         -1.00          0.00
2018-09-20-12:08:00   572414.26  5667592.15  312.89     0.40         -1.20          0.00
2018-09-20-12:12:00   572424.36  5667585.73  314.66     0.40         -1.16          0.00
2018-09-20-12:16:00   572437.47  5667583.14  315.95     0.40         -1.24          0.00
2018-09-20-12:20:00   572439.37  5667596.96  319.31     0.40         -1.41          0.00
2018-09-20-12:28:00   572439.38  5667606.63  317.11     0.40         -1.05          0.00
2018-09-20-12:32:00   572434.35  5667611.13  314.75     0.40         -1.06          0.00
2018-09-20-12:36:00   572430.09  5667620.41  312.30     0.40         -1.07          0.00
2018-09-20-12:42:00   572381.99  5667608.61  308.19     0.40         -0.89          0.00
2018-09-20-13:27:00   572352.65  5667506.65  313.57     0.40         -1.17          0.00
2018-09-20-13:30:00   572370.10  5667505.00  313.10     0.40         -0.98          0.00
2018-09-20-13:33:00   572382.24  5667506.18  313.19     0.40         -1.02          0.00
2018-09-20-13:36:00   572379.37  5667516.36  313.81     0.40         -1.21          0.00
2018-09-20-13:39:00   572372.54  5667530.29  313.30     0.40         -0.95          0.00
2018-09-20-13:42:00   572372.34  5667534.51  312.98     0.40         -0.96          0.00
2018-09-20-13:45:00   572358.32  5667536.75  312.29     0.40         -0.95          0.00
2018-09-20-13:48:00   572343.95  5667538.78  311.68     0.40         -1.04          0.00
2018-09-20-13:48:00   572343.95  5667538.78  311.68     0.40         -1.04          0.00
